categories,description,hauteur,largeur,longueur,name,poids,prix,sku,stock,tags,url
bird,"Pidgeotto claims a large area as its own territory. This Pokémon flies around, patrolling its living space. If its territory is violated, it shows no mercy in thoroughly punishing the foe with its sharp claws.",3,3,3,Pidgeotto,66.1,84.0,1150,120,bird,https://scrapeme.live/shop/Pidgeotto/
bird,"This Pokémon has a dazzling plumage of beautifully glossy feathers. Many Trainers are captivated by the striking beauty of the feathers on its head, compelling them to choose Pidgeot as their Pokémon.",4,4,4,Pidgeot,87.1,185.0,8462,90,bird,https://scrapeme.live/shop/Pidgeot/
drill,Nidoqueen’s body is encased in extremely hard scales. It is adept at sending foes flying with harsh tackles. This Pokémon is at its strongest when it is defending its young.,4,4,4,Nidoqueen,132.3,106.0,6614,153,drill,https://scrapeme.live/shop/Nidoqueen/
mouse,"Sandslash can roll up its body as if it were a ball covered with large spikes. In battle, this Pokémon will try to make the foe flinch by jabbing it with its spines. It then leaps at the stunned foe to tear wildly with its sharp claws.",3,3,3,Sandslash,65.0,155.0,4747,236,mouse,https://scrapeme.live/shop/Sandslash/
poison pin,"When Nidorina are with their friends or family, they keep their barbs tucked away to prevent hurting each other. This Pokémon appears to become nervous if separated from the others.",2,2,2,Nidorina,44.1,28.0,9779,58,nidorina,https://scrapeme.live/shop/Nidorina/
mouse,"Sandshrew has a very dry hide that is extremely tough. The Pokémon can roll into a ball that repels any attack. At night, it burrows into the desert sand to sleep.",2,2,2,Sandshrew,26.5,82.0,9134,100,mouse,https://scrapeme.live/shop/Sandshrew/
mouse,This Pokémon exudes a weak electrical charge from all over its body that makes it take on a slight glow in darkness. Raichu plants its tail in the ground to discharge electricity.,2,2,2,Raichu,66.1,140.0,3488,215,mouse,https://scrapeme.live/shop/Raichu/
mouse,This Pokémon has electricity-storing pouches on its cheeks. These appear to become electrically charged during the night while Pikachu sleeps. It occasionally discharges electricity when it is dozy after waking up.,1,1,1,Pikachu,13.2,37.0,1333,254,mouse,https://scrapeme.live/shop/Pikachu/
cobra,"This Pokémon is terrifically strong in order to constrict things with its body. It can even flatten steel oil drums. Once Arbok wraps its body around its foe, escaping its crunching embrace is impossible.",,,,Arbok,143.3,182.0,9230,248,arbok,https://scrapeme.live/shop/Arbok/
pokemon,Ekans curls itself up in a spiral while it rests. Assuming this position allows it to quickly respond to a threat from any direction with a glare from its upraised head.,6,6,6,Ekans,15.2,55.0,5690,120,ekans,https://scrapeme.live/shop/Ekans/
beak,Fearow is recognized by its long neck and elongated beak. They are conveniently shaped for catching prey in soil or water. It deftly moves its long and skinny beak to pluck prey.,3,3,3,Fearow,83.8,95.0,9127,276,beak,https://scrapeme.live/shop/Fearow/
pokemon,"Spearow has a very loud cry that can be heard over half a mile away. If its high, keening cry is heard echoing all around, it is a sign that they are warning each other of danger.",1,1,1,Spearow,4.4,133.0,1591,46,keen eye,https://scrapeme.live/shop/Spearow/
fairy,"Clefable moves by skipping lightly as if it were flying using its wings. Its bouncy step lets it even walk on water. It is known to take strolls on lakes on quiet, moonlit nights.",4,4,4,Clefable,88.2,188.0,9786,23,clefable,https://scrapeme.live/shop/Clefable/
fairy,"On every night of a full moon, groups of this Pokémon come out to play. When dawn arrives, the tired Clefairy return to their quiet mountain retreats and go to sleep nestled up against each other.",2,2,2,Clefairy,16.5,160.0,3259,86,clefairy,https://scrapeme.live/shop/Clefairy/
poison moth,"Venomoth is nocturnal—it is a Pokémon that only becomes active at night. Its favorite prey are small insects that gather around streetlights, attracted by the light in the darkness.",4,4,4,Venomoth,27.6,53.0,3503,22,poison moth,https://scrapeme.live/shop/Venomoth/
insect,"Venonat is said to have evolved with a coat of thin, stiff hair that covers its entire body for protection. It possesses large eyes that never fail to spot even minuscule prey.",3,3,3,Venonat,66.1,158.0,1329,177,compound eyes,https://scrapeme.live/shop/Venonat/
mushroom,"Parasect is known to infest large trees en masse and drain nutrients from the lower trunk and roots. When an infested tree dies, they move onto another tree all at once.",3,3,3,Parasect,65.0,27.0,4612,17,effect spore,https://scrapeme.live/shop/Parasect/
mushroom,Paras has parasitic mushrooms growing on its back called tochukaso. They grow large by drawing nutrients from this Bug Pokémon host. They are highly valued as a medicine for extending life.,1,1,1,Paras,11.9,168.0,9691,192,effect spore,https://scrapeme.live/shop/Paras/
mole,"Diglett are raised in most farms. The reason is simple— wherever this Pokémon burrows, the soil is left perfectly tilled for planting crops. This soil is made ideal for growing delicious vegetables.",,,,Diglett,1.8,122.0,4383,227,diglett,https://scrapeme.live/shop/Diglett/
flower,"Vileplume has the world’s largest petals. They are used to attract prey that are then doused with toxic spores. Once the prey are immobilized, this Pokémon catches and devours them.",3,3,3,Vileplume,41.0,170.0,5295,283,chlorophyll,https://scrapeme.live/shop/Vileplume/
pokemon,"From its mouth Gloom drips honey that smells absolutely horrible. Apparently, it loves the horrid stench. It sniffs the noxious fumes and then drools even more of its honey.",2,2,2,Gloom,19.0,178.0,7374,74,chlorophyll,https://scrapeme.live/shop/Gloom/
pokemon,"Oddish searches for fertile, nutrient-rich soil, then plants itself. During the daytime, while it is planted, this Pokémon’s feet are thought to change shape and become similar to the roots of trees.",1,1,1,Oddish,11.9,45.0,8337,296,chlorophyll,https://scrapeme.live/shop/Oddish/
bat,"Golbat bites down on prey with its four fangs and drinks the victim’s blood. It becomes active on inky dark moonless nights, flying around to attack people and Pokémon.",5,5,5,Golbat,121.3,136.0,5941,52,bat,https://scrapeme.live/shop/Golbat/
bat,"Zubat avoids sunlight because exposure causes it to become unhealthy. During the daytime, it stays in caves or under the eaves of old houses, sleeping while hanging upside down.",2,2,2,Zubat,16.5,125.0,2584,154,bat,https://scrapeme.live/shop/Zubat/
balloon,"Wigglytuff’s body is very flexible. By inhaling deeply, this Pokémon can inflate itself seemingly without end. Once inflated, Wigglytuff bounces along lightly like a balloon.",3,3,3,Wigglytuff,26.5,130.0,2733,260,balloon,https://scrapeme.live/shop/Wigglytuff/
balloon,"When this Pokémon sings, it never pauses to breathe. If it is in a battle against an opponent that does not easily fall asleep, Jigglypuff cannot breathe, endangering its life.",1,1,1,Jigglypuff,12.1,61.0,9180,136,balloon,https://scrapeme.live/shop/Jigglypuff/
fox,"Inside Vulpix’s body burns a flame that never goes out. During the daytime, when the temperatures rise, this Pokémon releases flames from its mouth to prevent its body from growing too hot.",2,2,2,Vulpix,21.8,85.0,1440,268,flash fire,https://scrapeme.live/shop/Vulpix/
fox,Legend has it that Ninetales came into being when nine wizards possessing sacred powers merged into one. This Pokémon is highly intelligent—it can understand human speech.,3,3,3,Ninetales,43.9,52.0,5173,215,flash fire,https://scrapeme.live/shop/Ninetales/
pokemon,Machop exercises by hefting around a Graveler as if it were a barbell. There are some Machop that travel the world in a quest to master all kinds of martial arts.,2,2,2,Machop,43.0,166.0,9506,173,guts,https://scrapeme.live/shop/Machop/
pokemon,"Alakazam’s brain continually grows, infinitely multiplying brain cells. This amazing brain gives this Pokémon an astoundingly high IQ of 5,000. It has a thorough memory of everything that has occurred in the world.",4,4,4,Alakazam,105.8,40.0,7975,142,alakazam,https://scrapeme.live/shop/Alakazam/
pokemon,"Kadabra holds a silver spoon in its hand. The spoon is used to amplify the alpha waves in its brain. Without the spoon, the Pokémon is said to be limited to half the usual amount of its telekinetic powers.",4,4,4,Kadabra,124.6,129.0,9040,195,inner focus,https://scrapeme.live/shop/Kadabra/
pokemon,"Abra needs to sleep for eighteen hours a day. If it doesn’t, this Pokémon loses its ability to use telekinetic powers. If it is attacked, Abra escapes using Teleport while it is still sleeping.",2,2,2,Abra,43.0,141.0,3845,116,abra,https://scrapeme.live/shop/Abra/
pokemon,"Poliwrath’s highly developed, brawny muscles never grow fatigued, however much it exercises. It is so tirelessly strong, this Pokémon can swim back and forth across the ocean without effort.",4,4,4,Poliwrath,119.0,152.0,1848,216,damp,https://scrapeme.live/shop/Poliwrath/
pokemon,"The surface of Poliwhirl’s body is always wet and slick with a slimy fluid. Because of this slippery covering, it can easily slip and slide out of the clutches of any enemy in battle.",3,3,3,Poliwhirl,44.1,121.0,4447,139,damp,https://scrapeme.live/shop/Poliwhirl/
pokemon,"Poliwag has a very thin skin. It is possible to see the Pokémon’s spiral innards right through the skin. Despite its thinness, however, the skin is also very flexible. Even sharp fangs bounce right off it.",2,2,2,Poliwag,27.3,174.0,6402,217,damp,https://scrapeme.live/shop/Poliwag/
legendary,"Arcanine is known for its high speed. It is said to be capable of running over 6,200 miles in a single day and night. The fire that blazes wildly within this Pokémon’s body is its source of power.",6,6,6,Arcanine,341.7,69.0,9267,14,arcanine,https://scrapeme.live/shop/Arcanine/
pig monkey,"When Primeape becomes furious, its blood circulation is boosted. In turn, its muscles are made even stronger. However, it also becomes much less intelligent at the same time.",3,3,3,Primeape,70.5,86.0,3052,68,pig monkey,https://scrapeme.live/shop/Primeape/
pokemon,"Growlithe has a superb sense of smell. Once it smells anything, this Pokémon won’t forget the scent, no matter what. It uses its advanced olfactory sense to determine the emotions of other living things.",2,2,2,Growlithe,41.9,30.0,1749,243,growlithe,https://scrapeme.live/shop/Growlithe/
pig monkey,"When Mankey starts shaking and its nasal breathing turns rough, it’s a sure sign that it is becoming angry. However, because it goes into a towering rage almost instantly, it is impossible for anyone to flee its wrath.",1,1,1,Mankey,61.7,125.0,5180,209,mankey,https://scrapeme.live/shop/Mankey/
duck,"Golduck is the fastest swimmer among all Pokémon. It swims effortlessly, even in a rough, stormy sea. It sometimes rescues people from wrecked ships floundering in high seas.",5,5,5,Golduck,168.9,31.0,8764,278,damp,https://scrapeme.live/shop/Golduck/
duck,"If it uses its mysterious power, Psyduck can’t remember having done so. It apparently can’t form a memory of such an event because it goes into an altered state that is much like deep sleep.",2,2,2,Psyduck,43.2,182.0,6470,214,damp,https://scrapeme.live/shop/Psyduck/
classy cat,Persian has six bold whiskers that give it a look of toughness. The whiskers sense air movements to determine what is in the Pokémon’s surrounding vicinity. It becomes docile if grabbed by the whiskers.,3,3,3,Persian,70.5,200.0,3752,108,classy cat,https://scrapeme.live/shop/Persian/
pokemon,"Meowth withdraws its sharp claws into its paws to slinkily sneak about without making any incriminating footsteps. For some reason, this Pokémon loves shiny coins that glitter with light.",1,1,1,Meowth,9.3,131.0,9594,203,meowth,https://scrapeme.live/shop/Meowth/
mole,"Dugtrio are actually triplets that emerged from one body. As a result, each triplet thinks exactly like the other two triplets. They work cooperatively to burrow endlessly.",2,2,2,Dugtrio,73.4,111.0,7897,290,dugtrio,https://scrapeme.live/shop/Dugtrio/
pokemon,"Machamp is known as the Pokémon that has mastered every kind of martial arts. If it grabs hold of the foe with its four arms, the battle is all but over. The hapless foe is thrown far over the horizon.",5,5,5,Machamp,286.6,121.0,2857,242,guts,https://scrapeme.live/shop/Machamp/
magnet,Magnemite floats in the air by emitting electromagnetic waves from the units at its sides. These waves block gravity. This Pokémon becomes incapable of flight if its internal electrical supply is depleted.,1,1,1,Magnemite,13.2,100.0,1688,16,magnemite,https://scrapeme.live/shop/Magnemite/
magnet,"Magneton emits a powerful magnetic force that is fatal to electronics and precision instruments. Because of this, it is said that some towns warn people to keep this Pokémon inside a Poké Ball.",3,3,3,Magneton,132.3,191.0,5934,152,magnet,https://scrapeme.live/shop/Magneton/
hermit crab,"Slowbro’s tail has a Shellder firmly attached with a bite. As a result, the tail can’t be used for fishing anymore. This causes Slowbro to grudgingly swim and catch prey instead.",5,5,5,Slowbro,173.1,179.0,3864,289,hermit crab,https://scrapeme.live/shop/Slowbro/
dopey,"Slowpoke uses its tail to catch prey by dipping it in water at the side of a river. However, this Pokémon often forgets what it’s doing and often spends entire days just loafing at water’s edge.",3,3,3,Slowpoke,79.4,109.0,2145,57,dopey,https://scrapeme.live/shop/Slowpoke/
fire horse,"Rapidash usually can be seen casually cantering in the fields and plains. However, when this Pokémon turns serious, its fiery manes flare and blaze as it gallops its way up to 150 mph.",5,5,5,Rapidash,209.4,98.0,3414,194,fire horse,https://scrapeme.live/shop/Rapidash/
fire horse,Ponyta is very weak at birth. It can barely stand up. This Pokémon becomes stronger by stumbling and falling to keep up with its parent.,3,3,3,Ponyta,66.1,53.0,3629,41,fire horse,https://scrapeme.live/shop/Ponyta/
pokemon,"Rocks are Graveler’s favorite food. This Pokémon will climb a mountain from the base to the summit, crunchingly feasting on rocks all the while. Upon reaching the peak, it rolls back down to the bottom.",3,3,3,Graveler,231.5,182.0,4748,86,graveler,https://scrapeme.live/shop/Graveler/
megaton,"Golem is known for rolling down from mountains. To prevent them from rolling into the homes of people downhill, grooves have been dug into the sides of mountains to serve as guideways for diverting this Pokémon’s course.",4,4,4,Golem,661.4,103.0,1408,151,golem,https://scrapeme.live/shop/Golem/
pokemon,"When Geodude sleeps deeply, it buries itself halfway into the ground. It will not awaken even if hikers step on it unwittingly. In the morning, this Pokémon rolls downhill in search of food.",1,1,1,Geodude,44.1,32.0,1650,77,geodude,https://scrapeme.live/shop/Geodude/
jellyfish,Tentacruel has tentacles that can be freely elongated and shortened at will. It ensnares prey with its tentacles and weakens the prey by dosing it with a harsh toxin. It can catch up to 80 prey at the same time.,5,5,5,Tentacruel,121.3,65.0,1723,175,clear body,https://scrapeme.live/shop/Tentacruel/
jellyfish,Tentacool absorbs sunlight and refracts it using water inside its body to convert it into beam energy. This Pokémon shoots beams from the small round organ above its eyes.,2,2,2,Tentacool,100.3,186.0,1506,66,clear body,https://scrapeme.live/shop/Tentacool/
flycatcher,"Victreebel has a long vine that extends from its head. This vine is waved and flicked about as if it were an animal to attract prey. When an unsuspecting prey draws near, this Pokémon swallows it whole.",5,5,5,Victreebel,34.2,68.0,2187,119,chlorophyll,https://scrapeme.live/shop/Victreebel/
flycatcher,"Weepinbell has a large hook on its rear end. At night, the Pokémon hooks on to a tree branch and goes to sleep. If it moves around in its sleep, it may wake up to find itself on the ground.",3,3,3,Weepinbell,14.1,26.0,5253,46,chlorophyll,https://scrapeme.live/shop/Weepinbell/
flower,"Bellsprout’s thin and flexible body lets it bend and sway to avoid any attack, however strong it may be. From its mouth, this Pokémon spits a corrosive fluid that melts even iron.",2,2,2,Bellsprout,8.8,74.0,7454,257,bellsprout,https://scrapeme.live/shop/Bellsprout/
pokemon,"Machoke undertakes bodybuilding every day even as it helps people with tough, physically demanding labor. On its days off, this Pokémon heads to the fields and mountains to exercise and train.",4,4,4,Machoke,155.4,27.0,9503,10,guts,https://scrapeme.live/shop/Machoke/
pokemon,"Farfetch’d is always seen with a stalk from a plant of some sort. Apparently, there are good stalks and bad stalks. This Pokémon has been known to fight with others over stalks.",2,2,2,Farfetchd,33.1,185.0,3808,158,farfetchd,https://scrapeme.live/shop/Farfetchd/
pokemon,"Krabby live on beaches, burrowed inside holes dug into the sand. On sandy beaches with little in the way of food, these Pokémon can be seen squabbling with each other over territory.",1,1,1,Krabby,14.3,64.0,2333,147,krabby,https://scrapeme.live/shop/Krabby/
hypnosis,"Hypno holds a pendulum in its hand. The arcing movement and glitter of the pendulum lull the foe into a deep state of hypnosis. While this Pokémon searches for prey, it polishes the pendulum.",5,5,5,Hypno,166.7,198.0,2634,222,hypno,https://scrapeme.live/shop/Hypno/
hypnosis,"If your nose becomes itchy while you are sleeping, it’s a sure sign that one of these Pokémon is standing above your pillow and trying to eat your dream through your nostrils.",3,3,3,Drowzee,71.4,40.0,9437,253,drowzee,https://scrapeme.live/shop/Drowzee/
pokemon,"Onix has a magnet in its brain. It acts as a compass so that this Pokémon does not lose direction while it is tunneling. As it grows older, its body becomes increasingly rounder and smoother.",,,,Onix,463.0,37.0,2221,286,onix,https://scrapeme.live/shop/Onix/
pokemon,"Sometimes, on a dark night, your shadow thrown by a streetlight will suddenly and startlingly overtake you. It is actually a Gengar running past you, pretending to be your shadow.",4,4,4,Gengar,89.3,149.0,6267,159,gengar,https://scrapeme.live/shop/Gengar/
gas,"Haunter is a dangerous Pokémon. If one beckons you while floating in darkness, you must never approach it. This Pokémon will try to lick you with its tongue and steal your life away.",5,5,5,Haunter,0.2,42.0,7532,181,gas,https://scrapeme.live/shop/Haunter/
gas,"Gastly is largely composed of gaseous matter. When exposed to a strong wind, the gaseous body quickly dwindles away. Groups of this Pokémon cluster under the eaves of houses to escape the ravages of wind.",4,4,4,Gastly,0.2,179.0,6873,151,gas,https://scrapeme.live/shop/Gastly/
bivalve,"Cloyster is capable of swimming in the sea. It does so by swallowing water, then jetting it out toward the rear. This Pokémon shoots spikes from its shell using the same system.",4,4,4,Cloyster,292.1,199.0,5736,39,bivalve,https://scrapeme.live/shop/Cloyster/
bivalve,"At night, this Pokémon uses its broad tongue to burrow a hole in the seafloor sand and then sleep in it. While it is sleeping, Shellder closes its shell, but leaves its tongue hanging out.",1,1,1,Shellder,8.8,138.0,4653,23,bivalve,https://scrapeme.live/shop/Shellder/
pokemon,"This Pokémon’s favorite food is anything that is repugnantly filthy. In dirty towns where people think nothing of throwing away litter on the streets, Muk are certain to gather.",3,3,3,Muk,66.1,187.0,9514,220,muk,https://scrapeme.live/shop/Muk/
pokemon,Grimer emerged from the sludge that settled on a polluted seabed. This Pokémon loves anything filthy. It constantly leaks a horribly germ-infested fluid from all over its body.,2,2,2,Grimer,66.1,147.0,3031,201,grimer,https://scrapeme.live/shop/Grimer/
pokemon,"Seel hunts for prey in the frigid sea underneath sheets of ice. When it needs to breathe, it punches a hole through the ice with the sharply protruding section of its head.",3,3,3,Seel,198.4,164.0,2302,250,sea lion,https://scrapeme.live/shop/Seel/
pokemon,Dewgong loves to snooze on bitterly cold ice. The sight of this Pokémon sleeping on a glacier was mistakenly thought to be a mermaid by a mariner long ago.,5,5,5,Dewgong,264.6,70.0,9375,62,dewgong,https://scrapeme.live/shop/Dewgong/
pokemon,"Apparently, the heads aren’t the only parts of the body that Dodrio has three of. It has three sets of hearts and lungs as well, so it is capable of running long distances without rest.",5,5,5,Dodrio,187.8,138.0,4038,118,dodrio,https://scrapeme.live/shop/Dodrio/
pokemon,"Doduo’s two heads contain completely identical brains. A scientific study reported that on rare occasions, there will be examples of this Pokémon possessing different sets of brains.",4,4,4,Doduo,86.4,73.0,8303,227,doduo,https://scrapeme.live/shop/Doduo/
egg,"This Pokémon consists of six eggs that form a closely knit cluster. The six eggs attract each other and spin around. When cracks increasingly appear on the eggs, Exeggcute is close to evolution.",1,1,1,Exeggcute,5.5,126.0,2494,144,chlorophyll,https://scrapeme.live/shop/Exeggcute/
ball,One of Electrode’s characteristics is its attraction to electricity. It is a problematical Pokémon that congregates mostly at electrical power plants to feed on electricity that has just been generated.,3,3,3,Electrode,146.8,100.0,1042,230,ball,https://scrapeme.live/shop/Electrode/
pokemon,"Tangela’s vines snap off easily if they are grabbed. This happens without pain, allowing it to make a quick getaway. The lost vines are replaced by newly grown vines the very next day.",3,3,3,Tangela,77.2,64.0,3530,91,chlorophyll,https://scrapeme.live/shop/Tangela/
egg,"Chansey lays nutritionally excellent eggs on an everyday basis. The eggs are so delicious, they are easily and eagerly devoured by even those people who have lost their appetite.",3,3,3,Chansey,76.3,176.0,8548,151,chansey,https://scrapeme.live/shop/Chansey/
drill,"Rhydon has a horn that serves as a drill. It is used for destroying rocks and boulders. This Pokémon occasionally rams into streams of magma, but the armor-like hide prevents it from feeling the heat.",6,6,6,Rhydon,264.6,27.0,4900,73,drill,https://scrapeme.live/shop/Rhydon/
pokemon,"Rhyhorn’s brain is very small. It is so dense, while on a run it forgets why it started running in the first place. It apparently remembers sometimes if it demolishes something.",3,3,3,Rhyhorn,253.5,124.0,8574,138,rhyhorn,https://scrapeme.live/shop/Rhyhorn/
poison gas,"Weezing alternately shrinks and inflates its twin bodies to mix together toxic gases inside. The more the gases are mixed, the more powerful the toxins become. The Pokémon also becomes more putrid.",3,3,3,Weezing,20.9,48.0,8429,117,levitate,https://scrapeme.live/shop/Weezing/
poison gas,"Koffing embodies toxic substances. It mixes the toxins with raw garbage to set off a chemical reaction that results in a terribly powerful poison gas. The higher the temperature, the more gas is concocted by this Pokémon.",2,2,2,Koffing,2.2,38.0,3303,110,koffing,https://scrapeme.live/shop/Koffing/
licking,"Whenever Lickitung comes across something new, it will unfailingly give it a lick. It does so because it memorizes things by texture and by taste. It is somewhat put off by sour things.",3,3,3,Lickitung,144.4,142.0,5903,291,licking,https://scrapeme.live/shop/Lickitung/
pokemon,Hitmonchan is said to possess the spirit of a boxer who had been working toward a world championship. This Pokémon has an indomitable spirit and will never give up in the face of adversity.,4,4,4,Hitmonchan,110.7,91.0,3499,163,hitmonchan,https://scrapeme.live/shop/Hitmonchan/
kicking,"Hitmonlee’s legs freely contract and stretch. Using these springlike legs, it bowls over foes with devastating kicks. After battle, it rubs down its legs and loosens the muscles to overcome fatigue.",4,4,4,Hitmonlee,109.8,73.0,6833,269,hitmonlee,https://scrapeme.live/shop/Hitmonlee/
bone keeper,Marowak is the evolved form of a Cubone that has overcome its sadness at the loss of its mother and grown tough. This Pokémon’s tempered and hardened spirit is not easily broken.,3,3,3,Marowak,99.2,36.0,8681,295,bone keeper,https://scrapeme.live/shop/Marowak/
lonely,"Cubone pines for the mother it will never see again. Seeing a likeness of its mother in the full moon, it cries. The stains on the skull the Pokémon wears are made by the tears it sheds.",1,1,1,Cubone,14.3,177.0,3170,242,cubone,https://scrapeme.live/shop/Cubone/
coconut,"Exeggutor originally came from the tropics. Its heads steadily grow larger from exposure to strong sunlight. It is said that when the heads fall off, they group together to form Exeggcute.",6,6,6,Exeggutor,264.6,68.0,8250,292,chlorophyll,https://scrapeme.live/shop/Exeggutor/
ball,Voltorb is extremely sensitive—it explodes at the slightest of shocks. It is rumored that it was first created when a Poké Ball was exposed to a powerful pulse of energy.,1,1,1,Voltorb,22.9,189.0,9522,245,ball,https://scrapeme.live/shop/Voltorb/
pincer,"Kingler has an enormous, oversized claw. It waves this huge claw in the air to communicate with others. However, because the claw is so heavy, the Pokémon quickly tires.",4,4,4,Kingler,132.3,72.0,1454,271,kingler,https://scrapeme.live/shop/Kingler/
dragon,"If Horsea senses danger, it will reflexively spray a dense black ink from its mouth and try to escape. This Pokémon swims by cleverly flapping the fin on its back.",1,1,1,Horsea,17.6,154.0,1885,88,dragon,https://scrapeme.live/shop/Horsea/
parent,"If you come across a young Kangaskhan playing by itself, you must never disturb it or attempt to catch it. The baby Pokémon’s parent is sure to be in the area, and it will become violently enraged at you.",7,7,7,Kangaskhan,176.4,164.0,7268,35,early bird,https://scrapeme.live/shop/Kangaskhan/
human shape,"Jynx walks rhythmically, swaying and shaking its hips as if it were dancing. Its motions are so bouncingly alluring, people seeing it are compelled to shake their hips without giving any thought to what they are doing.",4,4,4,Jynx,89.5,138.0,1615,197,human shape,https://scrapeme.live/shop/Jynx/
mantis,"Scyther is blindingly fast. Its blazing speed enhances the effectiveness of the twin scythes on its forearms. This Pokémon’s scythes are so effective, they can slice through thick logs in one wicked stroke.",4,4,4,Scyther,123.5,85.0,5181,139,mantis,https://scrapeme.live/shop/Scyther/
